SiteID,country,city,location,latitude,longitude,population,institution,website
MT001,MT,Malta,,35.937496,14.375416,296297,,
NL001,NL,Amsterdam,RWZI Amsterdam-WEST,52.375,4.8666668,769000,KWR,https://www.kwrwater.nl/en/
NL002,NL,Eindhoven,RWZI Eindhoven,51.4421082,5.4800701,450300,KWR,https://www.kwrwater.nl/en/
NL003,NL,Nieuwegein Ijssel.,RWZI Nieuwegein,52.024821,5.091819,96000,KWR,https://www.kwrwater.nl/en/
NL004,NL,Oudewater,RWZI Oudewater,52.024163,4.868417,10110,KWR,https://www.kwrwater.nl/en/
NL005,NL,Utrecht,RWZI Utrecht,52.0858002,5.1308398,3.00E+05,KWR,https://www.kwrwater.nl/en/
NO001,NO,Oslo,VEAS,59.9156914,10.857625,612499,Norwegian Institute for Water Research (NIVA),www.niva.no/en
PL003,PL,Krakow P,Krakow Plaszow,50.06,19.94,680000,AGH University of Science and Technology,http://www.agh.edu.pl/en/
PT001,PT,Almada,Mutela,38.675187,-9.154345,138685,"Faculty of Pharmacy - University of Lisbon, and National Institute of Legal Medicine and Forensic Sciences",http//www.ff.ul.pt/servicos-exterior/contactos/
PT002,PT,Lisbon,Alcântara,38.7044907,-9.1754999,426964,"Faculty of Pharmacy - University of Lisbon, and National Institute of Legal Medicine and Forensic Sciences",http//www.ff.ul.pt/servicos-exterior/contactos/
PT003,PT,Porto,,41.157944,-8.629105,150000,CIIMAR - University of Porto,www2.ciimar.up.pt
RO001,RO,Cluj Napoca,,46.7780991,23.6135998,350000,"Toxicological Center, University of Antwerp",https//www.uantwerpen.be/en/rg/tox/
RS001,RS,Belgrade,Sewer system Usce (outlet in Danube river),44.8130989,20.4632607,284347,,
RS002,RS,Novi Sad,,45.3039017,19.8267002,310312,"Faculty of Technical Sciences, University of Novi Sad",http://www.uns.ac.rs/index.php/en/
SE001,SE,Gävle,Duvbacken,60.674622,17.14183,90355,RISE Research Institutes of Sweden,https://www.ri.se/en
SE002,SE,Gothenburg,Ryaverket,57.6828995,12.0728998,664441,"Department of Chemistry, Umea University",http//www.chemistry.umu.se/english/
SE003,SE,Sandviken,Hedåsen ARV,60.61667,16.76667,28620,RISE Research Institutes of Sweden,https://www.ri.se/en
SE004,SE,Söderhamn,Granskär ARV,61.30373,17.05921,14500,RISE Research Institutes of Sweden,https://www.ri.se/en
SE005,SE,Stockholm (2),Henriksdal 1 and Sicklainloppet,59.329323,18.068581,860800,,
SE007,SE,Umea,Ons avloppsreningsverk,63.8181992,20.3150005,115800,"Department of Chemistry, Umea University",http//www.chemistry.umu.se/english/
SE008,SE,Uppsala,Site 1,59.858562,17.638927,2.00E+05,,
SI001,SI,Domžale-Kamnik,Domžale-Kamnik,46.13788,14.59384,77981,Jožef Stefan Institute,www.ijs.si/ijsw/V001/JSI
SI002,SI,Koper,Central wastewater treatment plant Koper,45.548058,13.730188,49843,Jožef Stefan Institute,www.ijs.si/ijsw/V001/JSI
SI003,SI,Ljubljana,Central wastewater treatment plant Ljubljana,46.056947,14.505751,270305,Jožef Stefan Institute,www.ijs.si/ijsw/V001/JSI
SI004,SI,Maribor,Maribor,46.55734,15.64591,129000,Jožef Stefan Institute,www.ijs.si/ijsw/V001/JSI
SI005,SI,Novo mesto,Wastewater treatment plant Novo mesto,45.804211,15.16969,25414,Jožef Stefan Institute,www.ijs.si/ijsw/V001/JSI
SI006,SI,Velenje,Central wastewater treatment plant Šaleške Doline (Šalek Valley),46.362274,15.110658,32583,Jožef Stefan Institute,www.ijs.si/ijsw/V001/JSI
SK002,SK,Bratislava C,Central,48.14925,17.106991,450000,"Department of Environmental Engineering, Slovak University of Technology Bratislava",www.stuba.sk/english.html?page_id=132
SK004,SK,Piestany,,48.5918007,17.8019009,30000,"Department of Environmental Engineering, Slovak University of Technology Bratislava",www.stuba.sk/english.html?page_id=132
TR001,TR,Adana,Seyhan,36.991421,35.33083,1159215,,
TR003,TR,Istanbul (II-VII),Istanbul (II-VII),41.013,28.9748,16525000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa",https://adlitip.istanbulc.edu.tr/tr/_
TR002,TR,Istanbul I,Catalca-Ahmediye,41.013,28.9748,69000,"Forensic Toxicology Labs. Institute of Forensic Sciences and Legal Medicine, Istanbul University-Cerrahpasa",https://adlitip.istanbulc.edu.tr/tr/_
